"Country","Region","IncomeG","Year","LifeExp","AdultM","InfantD","Alcohol","PercHealthExp","HepsB","Measles","BMI","Und5Deaths","Polio","GovHealthExp","Diph","HIV","GDP","Pop","Thin10_19Yrs","Thin5_9Yrs","Schooling"
"Afghanistan","South Asia","Low Income",2015,65,263,62,0.01,71.27962362,65,1154,19.1,83,6,8.16,65,0.1,584.25921,34413603,17.2,17.3,10.1
"Afghanistan","South Asia","Low Income",2014,59.9,271,64,0.01,73.52358168,62,492,18.6,86,58,8.18,62,0.1,612.696514,33370804,17.5,17.5,10
"Afghanistan","South Asia","Low Income",2013,59.9,268,66,0.01,73.21924272,64,430,18.1,89,62,8.13,64,0.1,631.744976,32269592,17.7,17.7,9.9
"Afghanistan","South Asia","Low Income",2012,59.5,272,69,0.01,78.1842153,67,2787,17.6,93,67,8.52,67,0.1,669.959,31161378,17.9,18,9.8
"Afghanistan","South Asia","Low Income",2011,59.2,275,71,0.01,7.097108703,68,3013,17.2,97,68,7.87,68,0.1,63.537231,30117411,18.2,18.2,9.5
"Afghanistan","South Asia","Low Income",2010,58.8,279,74,0.01,79.67936736,66,1989,16.7,102,66,9.2,66,0.1,553.32894,29185511,18.4,18.4,9.2
"Afghanistan","South Asia","Low Income",2009,58.6,281,77,0.01,56.76221682,63,2861,16.2,106,63,9.42,63,0.1,445.8932979,28394806,18.6,18.7,8.9
"Afghanistan","South Asia","Low Income",2008,58.1,287,80,0.03,25.87392536,64,1599,15.7,110,64,8.33,64,0.1,373.3611163,27722281,18.8,18.9,8.7
"Afghanistan","South Asia","Low Income",2007,57.5,295,82,0.02,10.91015598,63,1141,15.2,113,63,6.73,63,0.1,369.835796,27100542,19,19.1,8.4
"Afghanistan","South Asia","Low Income",2006,57.3,295,84,0.03,17.17151751,64,1990,14.7,116,58,7.43,58,0.1,272.56377,26433058,19.2,19.3,8.1
"Afghanistan","South Asia","Low Income",2005,57.3,291,85,0.02,1.388647732,66,1296,14.2,118,58,8.7,58,0.1,25.2941299,25654274,19.3,19.5,7.9
"Afghanistan","South Asia","Low Income",2004,57,293,87,0.02,15.29606643,67,466,13.8,120,5,8.79,5,0.1,219.1413528,24726689,19.5,19.7,6.8
"Afghanistan","South Asia","Low Income",2003,56.7,295,87,0.01,11.08905273,65,798,13.4,122,41,8.82,41,0.1,198.7285436,23680871,19.7,19.9,6.5
"Afghanistan","South Asia","Low Income",2002,56.2,3,88,0.01,16.88735091,64,2486,13,122,36,7.76,36,0.1,187.84595,22600774,19.9,2.2,6.2
"Afghanistan","South Asia","Low Income",2001,55.3,316,88,0.01,10.5747282,63,8762,12.6,122,35,7.8,33,0.1,117.49698,21606992,2.1,2.4,5.9
"Afghanistan","South Asia","Low Income",2000,54.8,321,88,0.01,10.42496,62,6532,12.2,122,24,8.2,24,0.1,114.56,20779957,2.3,2.5,5.5
"Albania","Europe & Central Asia","Middle Income",2015,77.8,74,0,4.6,364.9752287,99,0,58,0,99,6,99,0.1,3954.22783,2880703,1.2,1.3,14.2
"Albania","Europe & Central Asia","Middle Income",2014,77.5,8,0,4.51,428.7490668,98,0,57.2,1,98,5.88,98,0.1,4575.763787,2889104,1.2,1.3,14.2
"Albania","Europe & Central Asia","Middle Income",2013,77.2,84,0,4.76,430.8769785,99,0,56.5,1,99,5.66,99,0.1,4414.72314,2895092,1.3,1.4,14.2
"Albania","Europe & Central Asia","Middle Income",2012,76.9,86,0,5.14,412.4433563,99,9,55.8,1,99,5.59,99,0.1,4247.61438,2900401,1.3,1.4,14.2
"Albania","Europe & Central Asia","Middle Income",2011,76.6,88,0,5.37,437.0621,99,28,55.1,1,99,5.71,99,0.1,4437.17868,2905195,1.4,1.5,13.3
"Albania","Europe & Central Asia","Middle Income",2010,76.2,91,1,5.28,41.82275719,99,10,54.3,1,99,5.34,99,0.1,494.358832,2913021,1.4,1.5,12.5
"Albania","Europe & Central Asia","Middle Income",2009,76.1,91,1,5.79,348.0559517,98,0,53.5,1,98,5.79,98,0.1,4114.136545,2927519,1.5,1.6,12.2
"Albania","Europe & Central Asia","Middle Income",2008,75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437.539647,2947314,1.6,1.6,12
"Albania","Europe & Central Asia","Middle Income",2007,75.9,9,1,5.58,32.24655228,98,22,51.7,1,99,6.1,98,0.1,363.13685,2970017,1.6,1.7,11.6
"Albania","Europe & Central Asia","Middle Income",2006,74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,35.1293,2992547,1.7,1.8,11.4
"Albania","Europe & Central Asia","Middle Income",2005,73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279.142931,3011487,1.8,1.8,10.8
"Albania","Europe & Central Asia","Middle Income",2004,73,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416.588235,3026939,1.8,1.9,10.9
"Albania","Europe & Central Asia","Middle Income",2003,72.8,18,1,4.29,14.71928882,97,8,47.9,1,97,6.27,97,0.1,189.681557,3039616,1.9,2,10.7
"Albania","Europe & Central Asia","Middle Income",2002,73.3,15,1,3.73,104.5169157,96,16,46.9,1,98,6.3,98,0.1,1453.642777,3051010,2,2.1,10.7
"Albania","Europe & Central Asia","Middle Income",2001,73.6,14,1,4.25,96.20557078,96,18,46,1,97,6,97,0.1,1326.97339,3060173,2.1,2.1,10.6
"Albania","Europe & Central Asia","Middle Income",2000,72.6,11,1,3.66,91.71154052,96,662,45,1,97,6.26,97,0.1,1175.788981,3089027,2.1,2.2,10.7
"Algeria","Middle East & North Africa","Middle Income",2015,75.6,19,21,NA,0,95,63,59.5,24,95,NA,95,0.1,4132.76292,39728020,6,5.8,14.4
"Algeria","Middle East & North Africa","Middle Income",2014,75.4,11,21,0.01,54.2373183,95,0,58.4,24,95,7.21,95,0.1,547.8517,38923688,6,5.8,14.4
"Algeria","Middle East & North Africa","Middle Income",2013,75.3,112,21,0.53,544.4507432,95,25,57.2,24,95,7.12,95,0.1,5471.866766,38140135,5.9,5.8,14.4
"Algeria","Middle East & North Africa","Middle Income",2012,75.1,113,21,0.66,555.9260834,95,18,56.1,24,95,6.14,95,0.1,5564.82566,37383899,5.9,5.8,14.4
"Algeria","Middle East & North Africa","Middle Income",2011,74.9,116,21,0.56,509.0020405,95,112,55,24,95,5.29,95,0.1,5432.2523,36661438,5.9,5.8,14
"Algeria","Middle East & North Africa","Middle Income",2010,74.7,119,21,0.45,430.7175861,95,103,53.9,24,95,5.12,95,0.1,4463.394675,35977451,5.9,5.8,13.6
"Algeria","Middle East & North Africa","Middle Income",2009,74.4,123,20,0.5,352.0636419,94,107,52.8,23,94,5.36,95,0.1,3868.83123,35333882,6,5.9,13.1
"Algeria","Middle East & North Africa","Middle Income",2008,74.1,126,20,0.46,43.08717334,91,217,51.8,23,92,4.2,93,0.1,495.254866,34730604,6,5.9,12.6
"Algeria","Middle East & North Africa","Middle Income",2007,73.8,129,20,0.44,320.3239241,9,0,5.8,23,95,3.82,95,0.1,3935.183343,34166976,6,5.9,12.3
"Algeria","Middle East & North Africa","Middle Income",2006,73.4,132,20,0.36,270.2401962,8,944,49.8,23,95,3.36,95,0.1,3464.6179,33641007,6.1,6,12.3
"Algeria","Middle East & North Africa","Middle Income",2005,72.9,136,19,0.5,2.548922758,83,2302,48.9,22,88,3.24,88,0.1,31.122378,33149720,6.1,6,12
"Algeria","Middle East & North Africa","Middle Income",2004,72.3,14,19,0.45,220.393699,81,3289,47.9,23,86,3.54,86,0.1,2598.9823,32692153,6.2,6.1,11.7
"Algeria","Middle East & North Africa","Middle Income",2003,71.7,146,20,0.34,25.0185226,NA,15374,47,23,87,3.6,87,0.1,294.33556,32264159,6.3,6.1,11.5
"Algeria","Middle East & North Africa","Middle Income",2002,71.6,145,20,0.36,148.5119843,NA,5862,46.1,23,86,3.73,86,0.1,1774.33673,31855110,6.3,6.2,11.1
"Algeria","Middle East & North Africa","Middle Income",2001,71.4,145,20,0.23,147.9860714,NA,2686,45.3,24,89,3.84,89,0.1,1732.857979,31451513,6.4,6.3,10.9
"Algeria","Middle East & North Africa","Middle Income",2000,71.3,145,21,0.25,154.4559436,NA,0,44.4,25,86,3.49,86,0.1,1757.17797,31042238,6.5,6.4,10.7
"Angola","Sub-Saharan Africa","Middle Income",2015,52.4,335,66,NA,0,64,118,23.3,98,7,NA,64,1.9,3695.793748,27884380,8.3,8.2,11.4
"Angola","Sub-Saharan Africa","Middle Income",2014,51.7,348,67,8.33,23.965612,64,11699,22.7,101,68,3.31,64,2,479.31224,26941773,8.5,8.3,11.4
"Angola","Sub-Saharan Africa","Middle Income",2013,51.1,355,69,8.1,35.95857279,77,8523,22.1,105,67,4.26,77,2.3,484.616884,26015786,8.6,8.5,11.4
"Angola","Sub-Saharan Africa","Middle Income",2012,56,358,72,8.24,256.1225243,75,4458,21.5,110,75,3.3,75,2.6,4598.249988,25107925,8.8,8.6,10.3
"Angola","Sub-Saharan Africa","Middle Income",2011,51,361,75,8.06,239.8913921,72,1449,21,115,73,3.38,71,2.5,4299.12889,24220660,8.9,8.8,9.4
"Angola","Sub-Saharan Africa","Middle Income",2010,49.6,365,78,7.8,191.6537407,77,1190,2.4,121,81,3.39,77,2.5,3529.53482,23356247,9.1,9,9
